shop_id,product_type
s00001,hijab
s00001,graphic t-shirt
s00001,cotton saree
s00001,winter jacket
s00001,petticoat
s00001,kids eid frock
s00001,salwar set
s00001,anarkali kurti
s00001,casual shirt
s00001,scarf
s00001,nightwear set
s00001,silk saree
s00001,matching blouse
s00001,embroidered blouse
s00001,lungi
s00001,denim jeans
s00001,woolen shawl
s00001,cotton three-piece
s00001,winter cap
s00001,cardigan
s00002,kurti
s00002,denim jeans
s00002,matching blouse
s00002,casual shirt
s00002,cotton saree
s00002,bridal lehenga
s00002,cardigan
s00002,silk saree
s00002,salwar set
s00002,graphic t-shirt
s00002,anarkali kurti
s00002,scarf
s00002,winter cap
s00002,petticoat
s00002,designer panjabi
s00002,kids eid frock
s00002,winter jacket
s00002,formal trouser
s00002,hijab
s00002,nightwear set
s00002,embroidered blouse
s00003,matching blouse
s00003,formal trouser
s00003,hijab
s00003,petticoat
s00003,graphic t-shirt
s00003,cotton saree
s00003,nightwear set
s00003,anarkali kurti
s00003,silk saree
s00003,kurti
s00003,winter cap
s00003,lungi
s00003,winter jacket
s00003,casual shirt
s00003,scarf
s00003,cotton three-piece
s00003,salwar set
s00003,woolen shawl
s00003,cardigan
s00003,embroidered blouse
s00003,designer panjabi
s00003,bridal lehenga
s00003,kids eid frock
s00003,denim jeans
s00004,matching blouse
s00004,kids eid frock
s00004,graphic t-shirt
s00004,hijab
s00004,anarkali kurti
s00004,petticoat
s00004,bridal lehenga
s00004,salwar set
s00004,designer panjabi
s00004,woolen shawl
s00004,embroidered blouse
s00004,nightwear set
s00004,casual shirt
s00004,cotton saree
s00004,scarf
s00004,formal trouser
s00004,denim jeans
s00004,lungi
s00004,winter cap
s00004,winter jacket
s00004,cardigan
s00004,cotton three-piece
s00005,silk saree
s00005,casual shirt
s00005,matching blouse
s00005,woolen shawl
s00005,kurti
s00005,bridal lehenga
s00005,graphic t-shirt
s00005,embroidered blouse
s00005,anarkali kurti
s00005,hijab
s00005,denim jeans
s00005,winter cap
s00005,salwar set
s00005,designer panjabi
s00005,cotton saree
s00006,winter cap
s00006,designer panjabi
s00006,denim jeans
s00006,kurti
s00006,silk saree
s00006,cotton saree
s00006,cardigan
s00006,graphic t-shirt
s00006,formal trouser
s00006,matching blouse
s00006,cotton three-piece
s00006,casual shirt
s00006,salwar set
s00006,bridal lehenga
s00006,embroidered blouse
s00006,woolen shawl
s00006,hijab
s00007,winter jacket
s00007,salwar set
s00007,casual shirt
s00007,designer panjabi
s00007,nightwear set
s00007,embroidered blouse
s00007,kurti
s00007,kids eid frock
s00007,hijab
s00007,denim jeans
s00007,winter cap
s00007,cardigan
s00007,lungi
s00007,silk saree
s00007,cotton saree
s00007,petticoat
s00007,cotton three-piece
s00007,matching blouse
s00007,woolen shawl
s00008,designer panjabi
s00008,anarkali kurti
s00008,denim jeans
s00008,kurti
s00008,salwar set
s00008,woolen shawl
s00008,silk saree
s00008,casual shirt
s00008,scarf
s00008,winter cap
s00008,kids eid frock
s00008,graphic t-shirt
s00008,embroidered blouse
s00008,lungi
s00008,petticoat
s00008,cotton three-piece
s00008,hijab
s00008,matching blouse
s00008,bridal lehenga
s00008,formal trouser
s00008,cardigan
s00008,nightwear set
s00008,winter jacket
s00009,graphic t-shirt
s00009,bridal lehenga
s00009,nightwear set
s00009,cotton saree
s00009,matching blouse
s00009,cardigan
s00009,formal trouser
s00009,casual shirt
s00009,salwar set
s00009,anarkali kurti
s00009,silk saree
s00009,hijab
s00009,petticoat
s00010,petticoat
s00010,casual shirt
s00010,scarf
s00010,bridal lehenga
s00010,kurti
s00010,formal trouser
s00010,winter cap
s00010,graphic t-shirt
s00010,hijab
s00010,silk saree
s00010,winter jacket
s00010,lungi
s00010,cotton saree
s00010,woolen shawl
s00010,anarkali kurti
s00010,cotton three-piece
s00010,salwar set
s00010,matching blouse
s00010,cardigan
s00010,denim jeans
s00010,designer panjabi
s00010,nightwear set
s00011,graphic t-shirt
s00011,formal trouser
s00011,cotton three-piece
s00011,woolen shawl
s00011,denim jeans
s00011,cardigan
s00011,salwar set
s00011,winter cap
s00011,anarkali kurti
s00011,cotton saree
s00011,scarf
s00011,matching blouse
s00011,bridal lehenga
s00011,silk saree
s00011,designer panjabi
s00011,lungi
s00011,petticoat
s00011,casual shirt
s00011,kids eid frock
s00011,winter jacket
s00011,nightwear set
s00011,hijab
s00012,formal trouser
s00012,nightwear set
s00012,hijab
s00012,denim jeans
s00012,woolen shawl
s00012,scarf
s00012,designer panjabi
s00012,anarkali kurti
s00012,bridal lehenga
s00012,salwar set
s00012,silk saree
s00012,lungi
s00012,kurti
s00013,petticoat
s00013,lungi
s00013,kurti
s00013,salwar set
s00013,nightwear set
s00013,anarkali kurti
s00013,designer panjabi
s00013,scarf
s00013,cotton three-piece
s00013,woolen shawl
s00013,embroidered blouse
s00013,matching blouse
s00013,winter jacket
s00014,lungi
s00014,scarf
s00014,cardigan
s00014,formal trouser
s00014,winter cap
s00014,cotton three-piece
s00014,nightwear set
s00014,bridal lehenga
s00014,embroidered blouse
s00014,kids eid frock
s00014,woolen shawl
s00014,matching blouse
s00014,designer panjabi
s00014,cotton saree
s00014,winter jacket
s00014,silk saree
s00014,anarkali kurti
s00014,kurti
s00015,cotton three-piece
s00015,bridal lehenga
s00015,scarf
s00015,embroidered blouse
s00015,cotton saree
s00015,formal trouser
s00015,petticoat
s00015,kids eid frock
s00015,cardigan
s00015,matching blouse
s00015,casual shirt
s00015,hijab
s00015,kurti
s00015,silk saree
s00015,graphic t-shirt
s00015,woolen shawl
s00015,salwar set
s00015,lungi
s00015,winter jacket
s00015,denim jeans
s00015,nightwear set
s00015,anarkali kurti
s00015,designer panjabi
s00016,kids eid frock
s00016,cardigan
s00016,formal trouser
s00016,anarkali kurti
s00016,designer panjabi
s00016,hijab
s00016,salwar set
s00016,bridal lehenga
s00016,graphic t-shirt
s00016,matching blouse
s00016,embroidered blouse
s00016,scarf
s00016,lungi
s00016,nightwear set
s00016,cotton saree
s00016,petticoat
s00016,silk saree
s00016,denim jeans
s00016,casual shirt
s00016,winter jacket
s00016,winter cap
s00016,woolen shawl
s00017,salwar set
s00017,graphic t-shirt
s00017,winter jacket
s00017,scarf
s00017,formal trouser
s00017,lungi
s00017,petticoat
s00017,kids eid frock
s00017,winter cap
s00017,kurti
s00017,anarkali kurti
s00017,silk saree
s00017,woolen shawl
s00017,cotton saree
s00017,cardigan
s00017,cotton three-piece
s00017,nightwear set
s00018,scarf
s00018,woolen shawl
s00018,casual shirt
s00018,lungi
s00018,cotton saree
s00018,kurti
s00018,winter jacket
s00018,anarkali kurti
s00018,bridal lehenga
s00018,hijab
s00018,cardigan
s00018,winter cap
s00018,embroidered blouse
s00018,salwar set
s00018,silk saree
s00018,denim jeans
s00019,cotton saree
s00019,kids eid frock
s00019,salwar set
s00019,embroidered blouse
s00019,scarf
s00019,petticoat
s00019,denim jeans
s00019,cardigan
s00019,bridal lehenga
s00019,winter cap
s00019,kurti
s00019,formal trouser
s00019,woolen shawl
s00019,casual shirt
s00019,lungi
s00019,cotton three-piece
s00019,nightwear set
s00019,anarkali kurti
s00019,designer panjabi
s00019,matching blouse
s00019,hijab
s00019,silk saree
s00019,winter jacket
s00020,lungi
s00020,denim jeans
s00020,petticoat
s00020,scarf
s00020,kurti
s00020,formal trouser
s00020,designer panjabi
s00020,graphic t-shirt
s00020,silk saree
s00020,winter cap
s00020,winter jacket
s00020,bridal lehenga
s00020,hijab
s00020,matching blouse
s00020,kids eid frock
s00020,casual shirt
s00020,cotton saree
s00020,woolen shawl
s00020,cardigan
s00020,embroidered blouse
s00020,cotton three-piece
s00020,anarkali kurti
s00020,nightwear set
s00021,matching blouse
s00021,winter cap
s00021,cotton three-piece
s00021,kids eid frock
s00021,petticoat
s00021,woolen shawl
s00021,denim jeans
s00021,embroidered blouse
s00021,anarkali kurti
s00021,salwar set
s00021,graphic t-shirt
s00021,scarf
s00021,bridal lehenga
s00021,silk saree
s00021,lungi
s00021,winter jacket
s00021,formal trouser
s00021,cardigan
