shop_id,shop_type,region
s00001,clothing,Chattogram
s00002,clothing,Barishal
s00003,clothing,Cumilla
s00004,clothing,Cox's Bazar
s00005,clothing,Dhaka
s00006,clothing,Narayanganj
s00007,clothing,Barishal
s00008,clothing,Sylhet
s00009,clothing,Rangpur
s00010,clothing,Faridpur
s00011,clothing,Cumilla
s00012,clothing,Mymensingh
s00013,clothing,Rangpur
s00014,clothing,Khulna
s00015,clothing,Chattogram
s00016,clothing,Jessore
s00017,clothing,Gazipur
s00018,clothing,Barishal
s00019,clothing,Narayanganj
s00020,clothing,Bogra
s00021,clothing,Cox's Bazar
s00022,clothing,Rangpur
s00023,clothing,Narayanganj
s00024,clothing,Rangpur
s00025,clothing,Bogra
s00026,clothing,Cox's Bazar
s00027,clothing,Khulna
s00028,clothing,Faridpur
s00029,clothing,Rangpur
s00030,clothing,Sylhet
s00031,clothing,Rangpur
s00032,clothing,Cumilla
s00033,clothing,Gazipur
s00034,clothing,Cumilla
s00035,clothing,Barishal
s00036,clothing,Bogra
s00037,clothing,Chattogram
s00038,clothing,Dhaka
s00039,clothing,Mymensingh
s00040,clothing,Dhaka
s00041,clothing,Chattogram
s00042,clothing,Jessore
s00043,clothing,Bogra
s00044,clothing,Cox's Bazar
s00045,clothing,Jessore
s00046,clothing,Mymensingh
s00047,clothing,Sylhet
s00048,clothing,Mymensingh
s00049,clothing,Gazipur
s00050,clothing,Khulna
s00051,clothing,Cox's Bazar
s00052,clothing,Sylhet
s00053,clothing,Gazipur
s00054,clothing,Mymensingh
s00055,clothing,Chattogram
s00056,clothing,Khulna
s00057,clothing,Faridpur
s00058,clothing,Sylhet
s00059,clothing,Barishal
s00060,clothing,Faridpur
s00061,clothing,Jessore
s00062,clothing,Khulna
s00063,clothing,Cox's Bazar
s00064,clothing,Mymensingh
s00065,clothing,Sylhet
s00066,clothing,Mymensingh
s00067,clothing,Sylhet
s00068,clothing,Sylhet
s00069,clothing,Barishal
s00070,clothing,Gazipur
s00071,clothing,Khulna
s00072,clothing,Bogra
s00073,clothing,Cumilla
s00074,clothing,Bogra
s00075,clothing,Faridpur
s00076,clothing,Rangpur
s00077,clothing,Khulna
s00078,clothing,Gazipur
s00079,clothing,Barishal
s00080,clothing,Rajshahi
s00081,clothing,Rajshahi
s00082,clothing,Chattogram
s00083,clothing,Dhaka
s00084,clothing,Cumilla
s00085,clothing,Narayanganj
s00086,clothing,Mymensingh
s00087,clothing,Dhaka
s00088,clothing,Dhaka
s00089,clothing,Barishal
s00090,clothing,Barishal
s00091,clothing,Sylhet
s00092,clothing,Gazipur
s00093,clothing,Faridpur
s00094,clothing,Cox's Bazar
s00095,clothing,Cox's Bazar
